marca,modelo,matricula,combustivel,categoria,transmissao,tipo,lugares,imagem,diaria,disponivel,ultima_revisao,proxima_revisao,ultima_inspecao
BMW,Series 3,AA-12-BB,Gasolina,Berline,Automática,Automóvel,5,bmw_series3.jpg,85.00,TRUE,2025-08-10,2026-08-10,2025-07-01
BMW,Series 1,AB-13-BC,Gasóleo,Compacto,Manual,Automóvel,5,bmw_series1.jpg,65.00,TRUE,2025-06-20,2026-06-20,2025-05-15
Mercedes,C-Class,AC-14-BD,Gasóleo,Berline,Automática,Automóvel,5,mercedes_cclass.jpg,90.00,TRUE,2025-07-15,2026-07-15,2025-06-20
Mercedes,A-Class,AD-15-BE,Híbrido,Compacto,Manual,Automóvel,5,mercedes_aclass.jpg,75.00,TRUE,2025-06-01,2026-06-01,2025-05-01
Audi,A4,AE-16-BF,Híbrido,Berline,Manual,Automóvel,5,audi_a4.jpg,88.00,TRUE,2025-08-05,2026-08-05,2025-07-10
Audi,A3,AF-17-BG,Gasóleo,Compacto,Manual,Automóvel,5,audi_a3.jpg,70.00,TRUE,2025-05-25,2026-05-25,2025-04-30
Volkswagen,Golf,AG-18-BH,Gasóleo,Compacto,Manual,Automóvel,5,vw_golf.jpg,68.00,TRUE,2025-07-10,2026-07-10,2025-06-05
Volkswagen,Passat,AH-19-BI,Gasolina,Berline,Automática,Automóvel,5,vw_passat.jpg,82.00,TRUE,2025-06-30,2026-06-30,2025-05-25
Peugeot,308,AI-20-BJ,Gasóleo,Compacto,Manual,Automóvel,5,peugeot_308.jpg,65.00,TRUE,2025-07-01,2026-07-01,2025-06-01
Peugeot,508,AJ-21-BK,Híbrido,Berline,Automática,Automóvel,5,peugeot_508.jpg,78.00,TRUE,2025-08-01,2026-08-01,2025-07-01
Renault,Megane,AK-22-BL,Gasolina,Compacto,Manual,Automóvel,5,renault_megane.jpg,60.00,TRUE,2025-07-10,2026-07-10,2025-06-10
Renault,Talisman,AL-23-BM,Gasóleo,Berline,Automática,Automóvel,5,renault_talisman.jpg,75.00,TRUE,2025-06-15,2026-06-15,2025-05-20
Toyota,Yaris,AM-24-BN,Híbrido,Citadino,Automática,Automóvel,5,toyota_yaris.jpg,55.00,TRUE,2025-05-10,2026-05-10,2025-04-15
Toyota,Corolla,AN-25-BO,Híbrido,Berline,Automática,Automóvel,5,toyota_corolla.jpg,70.00,TRUE,2025-06-10,2026-06-10,2025-05-15
Tesla,Model 3,AO-26-BP,Elétrico,Berline,Automática,Automóvel,5,tesla_model3.jpg,95.00,TRUE,2025-07-20,2026-07-20,2025-06-25
Tesla,Model Y,AP-27-BQ,Elétrico,SUV,Automática,Automóvel,5,tesla_modely.jpg,100.00,TRUE,2025-08-01,2026-08-01,2025-07-01
Fiat,500,AQ-28-BR,Gasolina,Citadino,Manual,Automóvel,4,fiat_500.jpg,48.00,TRUE,2025-06-01,2026-06-01,2025-05-01
Fiat,Panda,AR-29-BS,Gasolina,Citadino,Manual,Automóvel,4,fiat_panda.jpg,45.00,TRUE,2025-05-15,2026-05-15,2025-04-20
Ford,Focus,AS-30-BT,Gasóleo,Compacto,Manual,Automóvel,5,ford_focus.jpg,63.00,TRUE,2025-07-05,2026-07-05,2025-06-01
Ford,Mondeo,AT-31-BU,Gasóleo,Berline,Automática,Automóvel,5,ford_mondeo.jpg,77.00,TRUE,2025-08-01,2026-08-01,2025-07-01
Opel,Astra,AU-32-BV,Gasóleo,Compacto,Manual,Automóvel,5,opel_astra.jpg,60.00,TRUE,2025-06-10,2026-06-10,2025-05-15
